selected_run_key,plot_run_label,run_family,target_flag_column,primary_score_column,primary_decision_column,row_count,first_alert_plot_order_index,first_broken_plot_order_index,recovery_end_plot_order_index,lead_rows_to_failure,lead_time_minutes_to_failure,total_final_alert_rows,detection_class_counts,first_stage1_flag_plot_order_index,first_stage2_flag_plot_order_index,first_stage2_raw_flag_plot_order_index,first_cascade_final_flag_plot_order_index
baseline,Baseline Isolation Forest,baseline,baseline_flag,baseline_score,baseline_decision,220320,260,17155,23671,16895,16895,100743,"{'no_alert': 119577, 'false_positive': 88802, 'recovery_alert': 6441, 'early_warning': 5499, 'failure_hit': 1}",,,,
cascade_tuned,Cascade Tuned,cascade,cascade_final_flag,stage2_score,stage2_model_decision,220320,353,17155,18523,16802,16802,92357,"{'no_alert': 127963, 'false_positive': 89704, 'recovery_alert': 1330, 'early_warning': 1322, 'failure_hit': 1}",260.0,279.0,279.0,353.0
