,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_51
sensor_00,1.0,0.28881491633105594,0.5994932054571075,0.32560551213031397,0.9517483609191597,0.5925655984054295,0.7023565971496509,0.38946217452653564,0.09682860121695774,0.05378329124636777,0.773744626979972,0.8173197483075568,0.6922779359178508,-0.15957959973996047,-0.35966532427102504,-0.3178613827675034,-0.33493726525195966,-0.1889210357312864,-0.4130228597171431,-0.3298635213947965,-0.2793726706368218,-0.48369358811522056,-0.22342726512264025,-0.35604884936999176,-0.3582469684389697,-0.22814713221502653,0.055959542953279554,-0.28429593307330636,-0.12363756192598109,-0.22681959917864208,-0.25115706612207994,-0.3574855276904202,-0.3998713984482464,-0.3656028250118189,-0.32601707703851157,-0.24199538542851753,0.28053213955002726,0.1499972456098179,-0.11141054819741565,0.009321285116794337,0.05468087151624517,-0.03934113513872456,-0.07300245522626148,-0.14385627232815526,-0.27160966283968474,-0.31147670801547594,-0.07564536977412181,0.169096971151302,0.06878198243168468,-0.023209024856837606
sensor_01,0.28881491633105594,1.0,0.5867904083493994,0.6598988073810561,0.2573942298398313,0.292721993239244,0.24020500830280817,0.08768823671173047,0.20167514248854543,0.12645083755001094,0.23528384400323804,0.16294702058312208,0.11732102347989226,0.15648691895953334,0.20262700676666057,0.13851037219997406,0.01914219668903668,0.14009223221556114,0.10759009477863629,0.2125715774133586,0.23356358162714752,-0.05227874543238468,0.3670136360672119,-0.046408905931970355,0.1856387786237952,0.30152279062104814,0.214912416841662,0.19063447589697377,0.22468462223425656,0.16210568360916994,0.2001675889428343,0.09021003486682953,0.13963860565432476,0.1288747769137652,0.35012059370009063,0.40881633158857883,0.28698871008134835,0.45860375510583407,0.4430773236014072,0.2508616940187854,0.5111749750043643,0.4853372305669913,0.3232566120982125,0.39943713443341644,0.23048072460421945,0.07651238904786796,0.31007045438915115,0.24722888802970872,0.34207309696929544,-0.0685720314031476
sensor_02,0.5994932054571075,0.5867904083493994,1.0,0.7711349944706642,0.5234595627825611,0.22053349881628354,0.44583930538430433,0.20795054496192383,0.1642657452726191,0.16692283814819137,0.35615473339322856,0.5454510810641879,0.34590696237885477,-0.35198378368845773,-0.30101852929122996,-0.288229769092907,-0.34305714820296296,-0.18343410241398095,-0.3441450391024579,-0.2584547690210057,-0.256745392996246,-0.46677689043827997,-0.0980579149467568,-0.4509871733396531,-0.26623378048739044,-0.12154408883115764,0.11195134686740633,-0.17428887075630428,0.06915434502110038,-0.10809255616601555,-0.16542269642795981,-0.22938193699932213,-0.2074921235637973,-0.35144995554208397,-0.1439764374128072,-0.05398367428060144,0.5015689300334915,0.21470994927315232,0.0975858900648471,0.021764929257440634,0.2662285380002521,0.23011026778118457,0.10424822980422402,0.07713391976106809,0.05923109709721207,-0.0539291020481562,0.08320799222523798,0.38168122078336253,0.2922363085173602,-0.03941352227887012
sensor_03,0.32560551213031397,0.6598988073810561,0.7711349944706642,1.0,0.2692368991428828,0.11624499471105373,0.25302057897283897,0.2090842938364494,0.11228669723186532,0.11043182667769877,0.15887680635035994,0.31329832794719287,0.14095918089308496,-0.10940706612618369,-0.16020348346409985,-0.19903383150463091,-0.30661044639657886,-0.15348109210762076,-0.2092647626796691,-0.12771814473181525,-0.11959521895035359,-0.35868276712721736,0.039435021347562715,-0.37646558966832666,-0.10214508855365345,0.03855607909793629,0.16872982447958884,-0.03778280892893525,0.04809626506102103,0.015628529737808997,-0.025652181392028482,-0.07038121444674494,-0.07562229228618018,-0.1625949486323054,0.07870450042712075,0.12614606314993707,0.5031258603827375,0.2864958733573555,0.21274627434198698,0.0005514008972136642,0.3353184730278128,0.31300809967926063,0.1313792929007548,0.1632625368994924,0.17283726577504635,0.043729510021827254,0.13914843846456632,0.31498275446317403,0.28259311350252364,0.03223263816047729
sensor_04,0.9517483609191597,0.2573942298398313,0.5234595627825611,0.2692368991428828,1.0,0.6070067133364603,0.6498163799046259,0.35306719894616123,0.05971904898060955,0.008214443220528092,0.7510977047835316,0.7981381071144201,0.6927417484309771,-0.1049131646734664,-0.30297357706374206,-0.2747013085630317,-0.28668804937474923,-0.15369201129962254,-0.355586652047314,-0.2804193465659548,-0.2253524891855362,-0.41705411592523145,-0.17539432026279755,-0.28278058088558194,-0.30880195558361884,-0.20283075292696062,0.04865617450441161,-0.2699929676321493,-0.09511010832043837,-0.2105221778755138,-0.2154513394580482,-0.30130485048071554,-0.3288090583809472,-0.303460085046769,-0.27490868391002204,-0.19205485901684188,0.2344834157345095,0.1726914397264443,-0.06677849502740278,0.0419843314432042,0.08275338189784139,-0.001326290233768131,-0.03302641865918319,-0.10869381889246864,-0.3015932956624687,-0.36257482052461504,-0.06791459623443102,0.16047856609638425,0.055394346695016826,0.025259367169131974
sensor_05,0.5925655984054295,0.292721993239244,0.22053349881628354,0.11624499471105373,0.6070067133364603,1.0,0.37564314232134405,0.2117290260366064,0.019650821394056,-0.10102298034211835,0.6366145716760448,0.5022956265407176,0.47845779949988265,0.35647818015917965,-0.13502364167975892,-0.12202600543156021,-0.12208935777804403,-0.090598121858645,-0.23352334630252186,-0.16090780101535077,-0.09068831056141351,-0.23593184689974664,-0.11556298002427565,-0.13259595168707408,-0.20224026862432917,-0.10366950938819543,0.07011784211394198,-0.06792208276159566,-0.1524771671259208,-0.02034305964363424,-0.06134138457280467,-0.17799471522894436,-0.24497605848839088,-0.15215960208465099,-0.18160202754886393,-0.1776682912522664,-0.05228719461292569,0.2960740079300909,0.05280011721184423,0.034586960706514715,0.11451218199166463,0.021252880436504758,-0.07330690577193762,-0.06208105961424006,-0.3012732517862311,-0.34674588571413256,-0.04805776275305914,-0.045633382793820135,-0.001254047472843088,-0.18124092966898914
sensor_06,0.7023565971496509,0.24020500830280817,0.44583930538430433,0.25302057897283897,0.6498163799046259,0.37564314232134405,1.0,0.47300845366954886,0.4710114850184236,0.25826458058264423,0.497739156644797,0.5931816238318641,0.49866778286553065,-0.06686861412524514,-0.17806703637582666,-0.14072667278529877,-0.17488928107283067,-0.07347145649652684,-0.2783330185147835,-0.21886615966514097,-0.17283239195242128,-0.33531260928112167,-0.10826092861055633,-0.2526243227452594,-0.17446830698413382,-0.11119229928065426,0.0668399939321177,-0.1710325832261694,-0.10371095469272082,-0.16542443523547606,-0.12027131544541278,-0.18786794410643995,-0.22638689290333958,-0.14756312288041726,-0.10082210757069127,-0.12356544834284146,0.2007808733365896,0.10220073098326524,-0.1472101232466356,-0.00016212629566405155,-0.010241577164398415,-0.09654005352340822,-0.09118843575292246,-0.10071127862043797,-0.15039391321161838,-0.15439020060524417,-0.03329264719163463,0.21497699763039987,0.13093576580787306,0.06711759131475645
sensor_07,0.38946217452653564,0.08768823671173047,0.20795054496192383,0.2090842938364494,0.35306719894616123,0.2117290260366064,0.47300845366954886,1.0,0.4474660134102858,0.19705742600874673,0.3189781326750138,0.4291989290415005,0.27406243297961685,-0.05039694162669183,-0.028268774334578563,-0.008845402825497804,0.005972909885771423,0.06908633315674652,-0.0777251185783489,-0.08074570302573297,-0.06251820614367902,-0.12815978499312872,-0.02515817939484768,-0.09140970858944088,-0.06704315529217385,-0.03569422118052286,0.04642275058847687,-0.06953673612822368,-0.06825883129955439,-0.06519315462780026,-0.09251825931825887,-0.11214676182637982,-0.13406659391021025,-0.09835466869339307,-0.06072495807248058,-0.0036451826916417992,0.20016886746303228,0.15092535460921974,0.055784579750769836,0.10540805221750763,0.11477095944400885,0.07434374607722789,0.07978138485647694,0.027624557018833373,-0.04658318748563423,-0.04944193124572084,0.07577274939007292,0.20719417750639518,0.13564396515973928,0.007844948791184922
sensor_08,0.09682860121695774,0.20167514248854543,0.1642657452726191,0.11228669723186532,0.05971904898060955,0.019650821394056,0.4710114850184236,0.4474660134102858,1.0,0.4687142903060942,0.037967529105601985,0.06333419522002653,0.03773705535435805,0.055383981549078524,0.12456946289882961,0.11253964434755341,0.06477273518944765,0.09466621025463358,0.05430493149607261,0.06092280171278238,0.06718109538633739,0.01953862417313139,0.11742324501940644,0.00938325512899264,0.09401552593530933,0.0936519324214258,0.061016132554840605,0.04762271008475987,0.004520141833260429,0.004758460186350244,0.033770118074553296,0.018041336476997683,0.03282250067897092,0.0710826940139704,0.13985918085271962,0.12249298807186525,0.07481143364750735,0.08149647056513191,0.07149099568234901,0.09915713051772895,0.09509028668266889,0.0788196328105712,0.08143457386103337,0.13885089093618583,0.06585679226568335,0.06207514827512596,0.11956798985710664,0.22499815227914566,0.20375403966929817,0.010288608614160826
sensor_09,0.05378329124636777,0.12645083755001094,0.16692283814819137,0.11043182667769877,0.008214443220528092,-0.10102298034211835,0.25826458058264423,0.19705742600874673,0.4687142903060942,1.0,-0.003146283273668058,0.004710719984440285,-0.022628379187505418,-0.02472561933528742,0.06641220978986546,0.08863446674041658,0.07064967523232348,0.08098205665306767,0.02713001274440205,0.016752668069558267,0.01463353531689689,0.007540082000379014,0.06160914089000596,-0.01741957048451079,0.05122449765637682,0.04761967705819939,0.06772377895215981,0.018998999868111082,0.03858674173907899,0.005509728957113727,0.028151862243140438,0.02085045636326283,0.032904731570921865,0.01144490424582115,0.06870415168483172,0.05414789949176382,0.11981403189211311,0.02243787426816829,-0.011409953027003266,0.024058855137717647,0.04979642680588826,0.026205437362807865,0.032689132620694894,0.09048869937750911,0.07881049113381064,0.07042909051283314,0.08894925577887249,0.12233631430288804,0.1300363420116324,8.677905427764639e-05
