feature,state_value,clean_center,clean_scale,state_center,state_q05,state_q95,median_shift_vs_clean,median_shift_vs_clean_robust_zish
sensor_00,abnormal,2.4614580000000004,0.05542700099999934,1.093982,0.0005902778999999701,2.3208737,-1.3674760000000004,24.671657771994855
sensor_00,normal_clean,2.4614580000000004,0.05542700099999934,2.4614580000000004,2.392593,2.512616,0.0,0.0
sensor_00,normal_contaminated,2.4614580000000004,0.05542700099999934,2.455556,1.96956,2.5076970000000003,-0.005902000000000296,0.10648239835311253
sensor_00,normal_suspect,2.4614580000000004,0.05542700099999934,2.449653,0.7821180999999999,2.504745,-0.011805000000000287,0.21298283845450033
sensor_00,recovery,2.4614580000000004,0.05542700099999934,0.0019675929999999,0.0019675926305353,0.3037963399999992,-2.4594904070000005,44.373506822063675
sensor_01,abnormal,48.3941,2.059168314000005,45.8333320617676,40.894095,51.584199,-2.5607679382324022,1.2435933094065645
sensor_01,normal_clean,48.3941,2.059168314000005,48.3941,44.314240000000005,51.8663177490234,0.0,0.0
sensor_01,normal_contaminated,48.3941,2.059168314000005,47.3524284362793,44.87847,49.7395820617676,-1.0416715637207048,0.5058700430841527
sensor_01,normal_suspect,48.3941,2.059168314000005,48.4375,44.66146,51.736110687255895,0.04339999999999833,0.02107647039094747
sensor_01,recovery,48.3941,2.059168314000005,38.67188,33.029514312744105,47.30902,-9.72222,4.721430460006571
sensor_02,abnormal,51.73611,1.608724782000013,52.73437,45.967878,52.96875,0.9982600000000019,0.6205287636328548
sensor_02,normal_clean,51.73611,1.608724782000013,51.73611,49.1319427490234,54.25346999999999,0.0,0.0
sensor_02,normal_contaminated,51.73611,1.608724782000013,52.17014,49.52257,54.42708,0.434030000000007,0.2697975470113716
sensor_02,normal_suspect,51.73611,1.608724782000013,51.6493,46.09375,53.77604,-0.08680999999999983,0.05396199584373602
sensor_02,recovery,51.73611,1.608724782000013,38.715274810791,33.7239570617676,50.0,-13.020835189208995,8.093886123281521
sensor_03,abnormal,44.357635498046896,1.6087181074043257,43.402774810790994,40.568574905395494,44.913193,-0.954860687255902,0.5935537636215049
sensor_03,normal_clean,44.357635498046896,1.6087181074043257,44.357635498046896,41.4930534362793,46.61458,0.0,0.0
sensor_03,normal_contaminated,44.357635498046896,1.6087181074043257,44.574649810790994,41.53646,46.875,0.217014312744098,0.13489890599556414
sensor_03,normal_suspect,44.357635498046896,1.6087181074043257,44.2274284362793,39.3663177490234,46.51041399999993,-0.13020706176759944,0.0809383950912874
sensor_03,recovery,44.357635498046896,1.6087181074043257,37.717014312744105,32.8125,43.92361,-6.640621185302791,4.127896089898226
sensor_04,abnormal,634.375,6.692331884765625,206.038757324219,200.49160308837887,578.5069599999999,-428.336242675781,64.0040347746116
sensor_04,normal_clean,634.375,6.692331884765625,634.375,619.907409667969,645.3704,0.0,0.0
sensor_04,normal_contaminated,634.375,6.692331884765625,630.2083,563.6574,640.9664150000001,-4.166699999999992,0.6226080941211295
sensor_04,normal_suspect,634.375,6.692331884765625,629.9768,391.22106170654297,642.476806640625,-4.398199999999974,0.6571999230958651
sensor_04,recovery,634.375,6.692331884765625,3.56770825386047,3.02951383590698,272.008101940155,-630.8072917461395,94.25822009546548
sensor_05,abnormal,75.19627,7.460724893999999,60.30106,0.42039300000000007,70.954754,-14.895209999999999,1.996482943899848
sensor_05,normal_clean,75.19627,7.460724893999999,75.19627,63.4912,88.37429499999999,0.0,0.0
sensor_05,normal_contaminated,75.19627,7.460724893999999,76.30651499999999,64.97878349999999,90.52528550000001,1.110244999999992,0.1488119473340806
sensor_05,normal_suspect,75.19627,7.460724893999999,77.23415,45.927766000000005,90.839822,2.0378800000000012,0.2731477207581917
sensor_05,recovery,75.19627,7.460724893999999,0.0,0.0,99.9998779296875,-75.19627,10.078949575057205
sensor_06,abnormal,14.03356,0.804369804000001,12.30469,0.9859663292915941,14.148579,-1.7288699999999988,2.149347217414935
sensor_06,normal_clean,14.03356,0.804369804000001,14.03356,13.12211,15.11863,0.0,0.0
sensor_06,normal_contaminated,14.03356,0.804369804000001,13.35359,12.62297,14.098670000000002,-0.6799699999999991,0.8453450099924416
sensor_06,normal_suspect,14.03356,0.804369804000001,13.43316,10.581598000000001,15.0897,-0.6003999999999987,0.7464228480660345
sensor_06,recovery,14.03356,0.804369804000001,6.553819,0.0144675923511386,12.62297,-7.479741,9.298883377775319
sensor_07,abnormal,16.16753,0.3860986919999998,15.91435,4.5717582860000014,16.806277,-0.25317999999999863,0.6557390771994606
sensor_07,normal_clean,16.16753,0.3860986919999998,16.16753,15.625,16.75347,0.0,0.0
sensor_07,normal_contaminated,16.16753,0.3860986919999998,16.13136,15.54543,16.6522,-0.03616999999999848,0.09368071104472558
sensor_07,normal_suspect,16.16753,0.3860986919999998,16.16753,13.90336,16.70284,0.0,0.0
sensor_07,recovery,16.16753,0.3860986919999998,11.34983,0.0361689813435078,17.66493,-4.8176999999999985,12.477897749521516
sensor_08,abnormal,15.56713,0.3646454699999982,15.18374,4.280959286000002,16.591434,-0.38339000000000034,1.0514048069759436
sensor_08,normal_clean,15.56713,0.3646454699999982,15.56713,14.96672,16.2037,0.0,0.0
sensor_08,normal_contaminated,15.56713,0.3646454699999982,15.29224,14.879920000000002,15.95052,-0.27489000000000097,0.7538555188962098
sensor_08,normal_suspect,15.56713,0.3646454699999982,15.45139,13.896120000000002,15.94329,-0.11574000000000062,0.3174041898833988
sensor_08,recovery,15.56713,0.3646454699999982,11.14005,0.0289351847022772,21.12268,-4.42708,12.140778822783735
sensor_09,abnormal,15.08247,0.053610815999998306,15.05353,4.165220657322899,15.452831,-0.02894000000000041,0.5398164430103307
sensor_09,normal_clean,15.08247,0.053610815999998306,15.08247,14.82205,15.632229999999998,0.0,0.0
sensor_09,normal_contaminated,15.08247,0.053610815999998306,15.05353,14.79311,15.38628,-0.02894000000000041,0.5398164430103307
sensor_09,normal_suspect,15.08247,0.053610815999998306,15.08247,13.35359,15.19821,0.0,0.0
sensor_09,recovery,15.08247,0.053610815999998306,11.29196,0.0072337961755693,17.65046,-3.790510000000001,70.70420267432827
sensor_10,abnormal,45.72617,4.098944220000007,28.30488,9.1950268,41.814446,-17.421290000000003,4.250189576866204
sensor_10,normal_clean,45.72617,4.098944220000007,45.72617,38.41193,52.476034999999996,0.0,0.0
sensor_10,normal_contaminated,45.72617,4.098944220000007,42.108215,36.8068675,48.86638,-3.617955000000002,0.88265533898873
sensor_10,normal_suspect,45.72617,4.098944220000007,41.32064,16.184848000000002,48.964556,-4.405530000000006,1.0747962801016107
sensor_10,recovery,45.72617,4.098944220000007,0.3597733999999999,0.08153963050000002,6.197044299999999,-45.3663966,11.06782482636466
sensor_11,abnormal,46.68359,7.186221504,30.43471,2.4600523,48.470419,-16.248880000000003,2.261115941243328
sensor_11,normal_clean,46.68359,7.186221504,46.68359,34.766729999999995,54.71455,0.0,0.0
sensor_11,normal_contaminated,46.68359,7.186221504,43.646505000000005,35.9953785,49.4097965,-3.0370849999999976,0.4226261322879476
sensor_11,normal_suspect,46.68359,7.186221504,45.71777,14.667530000000001,53.211994,-0.9658200000000008,0.13439886308297141
sensor_11,recovery,46.68359,7.186221504,0.0868055522441864,0.0,5.582444899999998,-46.596784447755816,6.484184271500549
sensor_12,abnormal,32.980270000000004,3.800704403999994,21.43791,0.4806777000000001,32.144777,-11.542360000000006,3.0369002093013133
sensor_12,normal_clean,32.980270000000004,3.800704403999994,32.980270000000004,19.744169999999997,38.279880000000006,0.0,0.0
sensor_12,normal_contaminated,32.980270000000004,3.800704403999994,32.073845,17.524315,36.270838000000005,-0.9064250000000058,0.23848868621460076
sensor_12,normal_suspect,32.980270000000004,3.800704403999994,32.78511,5.6979012,38.114938,-0.19516000000000133,0.05134837631535042
sensor_12,recovery,32.980270000000004,3.800704403999994,0.0,0.0,0.6777227799999996,-32.980270000000004,8.677409894147626
sensor_13,abnormal,5.620381,7.355844287399999,6.803444,0.07112736000000001,11.875421999999999,1.1830629999999998,0.16083306739193712
sensor_13,normal_clean,5.620381,7.355844287399999,5.620381,0.55942745,20.18542,0.0,0.0
sensor_13,normal_contaminated,5.620381,7.355844287399999,1.879081,1.1887112,16.161097500000004,-3.7413,0.508615986666352
sensor_13,normal_suspect,5.620381,7.355844287399999,4.772541,1.0294076,19.522154,-0.8478399999999997,0.11526073240189233
sensor_13,recovery,5.620381,7.355844287399999,0.0,0.0,0.0,-5.620381,0.7640701434677301
sensor_14,abnormal,420.4382,1.1024613600000222,420.3359,260.80688000000004,421.42126,-0.10230000000001382,0.09279236779782628
sensor_14,normal_clean,420.4382,1.1024613600000222,420.4382,417.85188,424.8687,0.0,0.0
sensor_14,normal_contaminated,420.4382,1.1024613600000222,40.901649475097706,35.8909235,106.2843750000002,-379.5365505249023,344.2629050735117
sensor_14,normal_suspect,420.4382,1.1024613600000222,407.47065,40.90165,421.620685,-12.967550000000017,11.762362356173423
sensor_14,recovery,420.4382,1.1024613600000222,420.2777,407.02594,425.14932,-0.1605000000000132,0.1455833336417432
sensor_16,abnormal,463.3769,1.8069928799999813,463.0843,279.92296,464.45092,-0.2925999999999931,0.16192648196820572
