,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_51
sensor_00,1.0,-0.03695228293127019,0.21262288660872916,0.16128461377417797,0.7911893341444219,-0.14573886297341065,0.3342975445530029,0.17134369165445182,0.091480424152445,0.1116098666171409,0.3896918520357339,0.20305821921972403,0.16781876449680452,0.08878106761591653,0.029293134634089366,0.03265267934700015,0.07233266586057382,0.07016651974110447,0.04579992979650592,0.03043050748434685,0.04236154393352079,0.06410932926784135,0.08447959456562376,0.0281471705313036,0.028826524118482924,0.10088841010571335,-0.004485338721715105,0.03897915774586391,-0.029483879629395176,0.03156844001907115,0.03990845107627607,0.14825918815271824,0.0020604077077565376,0.13747817950384772,0.04950656500803758,0.07448493550175898,-0.09458290230056089,-0.05695165596108362,-0.09263833253503338,0.09381816102748149,0.012097742908424709,0.007224621295959084,0.10584188993955143,-0.04085958362233863,-0.025028454848496376,0.046380928699745694,0.02756906267106445,0.1021529346311496,0.008326839084127222,0.1289118784538693
sensor_01,-0.03695228293127019,1.0,0.26213493809468186,0.2786956003339315,0.01799835799138321,-0.06113703327771471,0.08222650365262768,0.12204446079970703,0.16695874827564405,0.10820443268138076,-0.1236352775859195,-0.11281605307120113,-0.1108503204343416,-0.05696312456380585,0.012170700252563189,-0.009841015323673548,0.014223986240099507,0.016219614042322406,0.04721579308754529,0.021056374194400512,0.04048784950700446,-0.016159087173538634,-0.09803083718883322,-0.07408304495342272,0.00855956001738213,-0.21574590734282967,-0.02643174692271906,-0.15663633690749384,-0.05095585095224137,-0.10415367868606279,-0.22817425996451798,-0.1946981964685878,-0.1225079973486567,-0.2005786283895164,-0.036273180042843536,0.015364273965997615,0.050761923414669126,0.16291025639756598,0.0891425100027197,0.0729691449079647,0.23434624282129707,0.3047116493702137,0.1667999648911097,0.16711696454189004,0.21445234679049507,0.14424487668035305,0.09036232726788142,0.06301363566104759,0.18139733309340084,-0.011750877228056301
sensor_02,0.21262288660872916,0.26213493809468186,1.0,0.48987757148467875,0.15648753766415882,-0.10211073462274779,-0.0380863691873741,-0.027326884259365927,-0.1022642013462605,-0.0566401592970985,-0.013674131790659407,-0.0723786318838309,0.12631159668681677,-0.04647149799820867,0.04569108653569159,-0.01952668054942663,-0.03904403425939967,-0.043436088794724985,0.03136142750020151,0.015374377028718404,0.026513831385449486,-0.09309259795374128,-0.2094019095733997,0.0801246330186927,-0.12246832925525582,-0.19867623592616537,-0.045785723008116945,-0.027925475772772143,0.2759680628639253,-0.03267446882606614,-0.08096426261486472,-0.03546191560509397,0.08722590366646274,-0.28748735449026724,-0.2592972075506402,-0.2147281984491924,0.24682856504968903,0.08094501459275341,0.08670693186683578,0.01799266210875801,0.21512377195223778,0.3019654350193448,0.14926678538331647,0.06020785241729731,0.12842253285305152,0.09063216319127325,0.05234190310118458,0.11036963361252129,0.1258506460121089,0.056327205380504626
sensor_03,0.16128461377417797,0.2786956003339315,0.48987757148467875,1.0,0.12058219813727918,-0.16769383912249414,0.3515266208579453,0.27830853708991754,0.21337147295400957,0.15500286175344408,-0.030034358070478936,0.324181955844061,0.2616723106053604,0.30558228581687535,0.01352202517545369,0.02221185692244397,-0.026032517702584832,-0.033092737456033784,0.044372477124783365,0.023169100756203837,0.04320491441923236,0.2129100430759957,0.3628282396443628,0.19059094440248825,-0.13559743067436697,0.02475334570354995,0.20532813060867058,-0.16173933382522077,-0.08717052425182062,0.20191389287483083,0.05254677449784926,0.1656840473375077,0.01456084332758706,0.006491061458976587,0.19914268840716345,0.06197467935200845,-0.15613919088570782,0.16671459099811115,0.07647448007502604,0.23608502888705918,0.13789113900881822,0.1993800368849849,0.22957910134463733,0.21413851658116845,0.18579768376843667,0.17363610281796052,0.12556161701992208,0.36592280481151335,0.24006981111308107,-0.058162697521323
sensor_04,0.7911893341444219,0.01799835799138321,0.15648753766415882,0.12058219813727918,1.0,-0.07195730324696145,0.318293648322237,0.1814390949095371,0.12398223964672869,0.09223204029490202,0.29645174181046413,0.23560232322876196,0.20051699968313275,0.08732503453510064,0.0033858928049131714,0.011450609969500277,0.027099045636025255,0.023758477143028162,0.0017303075414996365,-0.009545312226258517,-0.0010952562521553578,0.013228487844740969,0.056560688615738125,0.0512406146363613,0.011245993157315332,0.028564145028342557,0.016836212408422792,-0.06843986773804626,0.008558480861503848,0.049238690098333884,-0.009165483354761247,0.09776017288903886,-0.00821790435013499,0.015324476398833381,0.01419705662502007,0.039389589902156304,-0.0716779775614217,-0.04155018804674088,-0.12356460459151938,0.08628086730941953,-0.0087246567261076,-0.02073453181547884,0.08522618293466465,-0.0011475709085858122,0.019836692158289905,0.05083170486340458,0.020736623410067035,0.1237039607683601,0.044715828111221614,0.10375516011617229
sensor_05,-0.14573886297341065,-0.06113703327771471,-0.10211073462274779,-0.16769383912249414,-0.07195730324696145,1.0,-0.35978052314926273,-0.3187055413218841,-0.2569259251984775,-0.1476909282979098,-0.15318555222260538,-0.26401955104357616,-0.15247938552591733,-0.35654279505681724,-0.014554652885420962,-0.012838358968777573,-0.012559755974955747,-0.006296182382461484,-0.0551542458372092,0.003210916176839904,-0.049754215866857805,-0.2554412724962374,-0.3290837749714792,-0.15943223569923312,-0.03289274353353707,-0.11906260889065497,-0.13139712412796714,0.21497849902585872,0.08538481091426055,-0.21512539719027718,0.07495070212657817,-0.20610293948257685,0.05752628020661177,-0.045543279898708676,-0.15233272213293805,-0.15248985679648697,0.31566340540964016,0.1975153699135149,0.258067723404567,-0.21148519749122482,0.19590808384810549,0.16082698381937952,-0.16157061337114242,-0.21708445419971772,-0.13730692839971728,-0.2446711821718246,-0.21112743482459131,-0.38705357318909017,-0.22532590059210467,-0.06254504571206534
sensor_06,0.3342975445530029,0.08222650365262768,-0.0380863691873741,0.3515266208579453,0.318293648322237,-0.35978052314926273,1.0,0.5656888779850286,0.4795921524600007,0.23793888905769628,0.17005374920043362,0.5285535292063401,0.30788736590429516,0.6229197160274337,0.013513871904210864,0.060940091842397015,0.03924547845979926,0.037820428029338694,0.20922959953612005,0.11458825317593943,0.20133842763535417,0.48282749761698446,0.7631674996031541,0.11130005603157259,-0.04757984862020848,0.15657171556552635,0.334994205147512,-0.42179006802410857,-0.44032450387280425,0.3322058329026322,-0.028262325168162093,0.2288287181300215,-0.22126133058768038,0.22100031076040774,0.6410501292440166,0.43833288659186603,-0.6982612456494898,-0.0036066188332154673,-0.25131882024063346,0.3715587723734422,-0.17111418265704675,-0.1970280591735827,0.2333922825790382,0.3403282202882081,0.21131314152788563,0.3264171155372654,0.19674508488868558,0.561637817414896,0.3556469660052992,0.04681322168622566
sensor_07,0.17134369165445182,0.12204446079970703,-0.027326884259365927,0.27830853708991754,0.1814390949095371,-0.3187055413218841,0.5656888779850286,1.0,0.673924260752628,0.44232476965655443,-0.0013743842478386333,0.5074950580411877,0.16815878783124336,0.466021933653878,-0.005011487322773488,0.0331548302205406,-0.011908366314179738,-0.017129210338564668,0.06906235441156776,0.04814184305650793,0.06314877540811699,0.18522933205661274,0.4800202061467045,0.17489860582008204,-0.2061445759798022,0.09139527300904889,0.23552072749499692,-0.3411517381644574,-0.16771917055653557,0.3151660288255035,-0.0071843078404990315,0.20818055948535705,0.010458552716747142,0.05679772418937721,0.2910753098531879,0.15482196873796555,-0.36300481410390584,-0.01776492901440277,-0.22269264204372055,0.3372179643005265,-0.1425562577617645,-0.1658170028914697,0.22749871933218524,0.28231091597209984,0.1889867252954838,0.2656358732830618,0.19784642018498583,0.4206464212588361,0.25089407637874056,-0.037989431212650644
sensor_08,0.091480424152445,0.16695874827564405,-0.1022642013462605,0.21337147295400957,0.12398223964672869,-0.2569259251984775,0.4795921524600007,0.673924260752628,1.0,0.5845542501669998,-0.0003647833768101727,0.40885412217662936,0.08356695199923865,0.3796375685082287,-0.017987217562758697,0.016769440935876317,-0.014469616867417455,-0.019092932554721685,0.025320659155822066,0.004066343989007394,0.021489005042255812,0.18658192794702924,0.42913044870793465,0.145798011936686,-0.07027609057380511,0.17148595187130616,0.20534344724887352,-0.2173236088976294,-0.16168879080746135,0.24972305762617855,-0.006116472125666411,0.23428143582069524,-0.00405406447989196,0.13619388849307887,0.27600932297518893,0.2047718420339551,-0.3229404821401505,0.003271980953811809,-0.1559855999716244,0.2599289986132872,-0.08733349771130891,-0.11274328892922511,0.17279482271424818,0.2373764211879692,0.15899467118308191,0.2070529570536965,0.1840503355304596,0.31112318569456365,0.1889889321336509,-0.05966731034391042
sensor_09,0.1116098666171409,0.10820443268138076,-0.0566401592970985,0.15500286175344408,0.09223204029490202,-0.1476909282979098,0.23793888905769628,0.44232476965655443,0.5845542501669998,1.0,0.07759921811286594,0.18134614012508624,-0.05989677679641575,0.18060827540155264,0.002116015944436876,0.01621303982150826,-0.004845430353556416,-0.009345850934869948,0.0006808043885552664,0.0017186935320529216,0.0032763160047798215,0.14261568722678908,0.24739509927005016,0.11644465597311936,0.0007581137019024963,0.21400374032718386,0.10628087932157813,-0.031176151590852064,-0.0705070420506343,0.12331746566058235,0.0702959712122644,0.2471478450103454,0.05956922741635463,0.13855716702408885,0.14343057995610956,0.10809927765049744,-0.14198187046260027,0.027338077499604835,-0.020437941645697403,0.15138297471246248,0.018295568374510275,0.010537949760522544,0.1341139951305781,0.0840771773128345,0.05922465676450741,0.12167967603782905,0.1419450298641221,0.12279393006401862,0.007280310485357465,-0.10033481168011403
