feature,PC1,PC2,pc1_abs_loading,pc2_abs_loading,max_abs_loading
sensor_09,-0.011477845195021215,0.9572665988411699,0.011477845195021215,0.9572665988411699,0.9572665988411699
sensor_20,0.5509816227716877,0.00817609439400937,0.5509816227716877,0.00817609439400937,0.5509816227716877
sensor_19,0.5079637538173013,0.005542307324947437,0.5079637538173013,0.005542307324947437,0.5079637538173013
sensor_14,0.4381940875495406,0.0050221970784276645,0.4381940875495406,0.0050221970784276645,0.4381940875495406
sensor_21,0.379223977600212,0.006970160638874994,0.379223977600212,0.006970160638874994,0.379223977600212
sensor_16,0.2796542688133903,0.0039197142718923475,0.2796542688133903,0.0039197142718923475,0.2796542688133903
sensor_04,-0.0102091388240874,0.2285575637548406,0.0102091388240874,0.2285575637548406,0.2285575637548406
sensor_07,-0.0013961651866975303,0.10508443621908568,0.0013961651866975303,0.10508443621908568,0.10508443621908568
sensor_17,0.10294918395216025,0.002991528344741964,0.10294918395216025,0.002991528344741964,0.10294918395216025
sensor_08,-0.0008984989575455519,0.08982160379028988,0.0008984989575455519,0.08982160379028988,0.08982160379028988
sensor_00,-0.002073909736232996,0.07690207528844932,0.002073909736232996,0.07690207528844932,0.07690207528844932
sensor_24,0.07112806297274692,-0.0019373352643771667,0.07112806297274692,0.0019373352643771667,0.07112806297274692
sensor_18,0.054212942643555403,0.0029904293983780196,0.054212942643555403,0.0029904293983780196,0.054212942643555403
sensor_25,0.0423908216274482,0.0030040031621287842,0.0423908216274482,0.0030040031621287842,0.0423908216274482
sensor_06,0.0006553643563130274,0.04110149356741245,0.0006553643563130274,0.04110149356741245,0.04110149356741245
sensor_10,-0.00021468466360329661,0.03181222409826524,0.00021468466360329661,0.03181222409826524,0.03181222409826524
sensor_22,0.03015907269028851,0.0022112211379527813,0.03015907269028851,0.0022112211379527813,0.03015907269028851
sensor_30,0.02551765990847903,-0.000733322366114081,0.02551765990847903,0.000733322366114081,0.02551765990847903
sensor_02,-0.0020733058440455254,0.024817538445060183,0.0020733058440455254,0.024817538445060183,0.024817538445060183
sensor_05,-0.0009575546977269019,0.024576535671073232,0.0009575546977269019,0.024576535671073232,0.024576535671073232
sensor_12,-0.0006935343562302781,0.02394078856576254,0.0006935343562302781,0.02394078856576254,0.02394078856576254
sensor_23,0.022121312608979427,0.001282905708893914,0.022121312608979427,0.001282905708893914,0.022121312608979427
sensor_33,0.021344938922200483,-0.0025346773144883632,0.021344938922200483,0.0025346773144883632,0.021344938922200483
sensor_26,0.020464761626778155,0.002434098842946836,0.020464761626778155,0.002434098842946836,0.020464761626778155
sensor_11,-0.0004888330403572721,0.020383908972381428,0.0004888330403572721,0.020383908972381428,0.020383908972381428
sensor_51,0.001049325941513274,0.017297558357700357,0.001049325941513274,0.017297558357700357,0.017297558357700357
sensor_31,0.01720184026918228,-0.0025459760946197896,0.01720184026918228,0.0025459760946197896,0.01720184026918228
sensor_01,0.0003541829790225104,0.014163873212134193,0.0003541829790225104,0.014163873212134193,0.014163873212134193
sensor_03,-0.0010427026171070386,0.013746135476498944,0.0010427026171070386,0.013746135476498944,0.013746135476498944
sensor_32,0.013268239542635103,-0.0005261550380505153,0.013268239542635103,0.0005261550380505153,0.013268239542635103
sensor_28,0.010464169446352185,-0.0036578342710922684,0.010464169446352185,0.0036578342710922684,0.010464169446352185
sensor_49,0.0014828154481169235,0.00918120382671524,0.0014828154481169235,0.00918120382671524,0.00918120382671524
sensor_38,-0.0004255745906594972,0.008970030271719944,0.0004255745906594972,0.008970030271719944,0.008970030271719944
sensor_40,0.0006197715472643279,0.008542999433350282,0.0006197715472643279,0.008542999433350282,0.008542999433350282
sensor_27,0.008198493207992878,-0.00015048141697890588,0.008198493207992878,0.00015048141697890588,0.008198493207992878
sensor_47,0.0009876114187295482,0.007730870708727038,0.0009876114187295482,0.007730870708727038,0.007730870708727038
sensor_29,0.007658008633213524,-0.001353983245891238,0.007658008633213524,0.001353983245891238,0.007658008633213524
sensor_44,0.0012892611386741283,0.007619162130041947,0.0012892611386741283,0.007619162130041947,0.007619162130041947
sensor_45,0.0013566415921220528,0.007103281335639883,0.0013566415921220528,0.007103281335639883,0.007103281335639883
sensor_35,0.006380042351153449,0.0010629864385901682,0.006380042351153449,0.0010629864385901682,0.006380042351153449
sensor_46,0.0012607793035808064,0.00607825035915612,0.0012607793035808064,0.00607825035915612,0.00607825035915612
sensor_48,0.0014225514817985847,0.0055942192703577675,0.0014225514817985847,0.0055942192703577675,0.0055942192703577675
sensor_13,0.0014733585364169056,0.0040791959491211244,0.0014733585364169056,0.0040791959491211244,0.0040791959491211244
sensor_34,0.003916530965521683,0.002088482320589916,0.003916530965521683,0.002088482320589916,0.003916530965521683
sensor_36,0.003414808595907869,0.0014588358961948175,0.003414808595907869,0.0014588358961948175,0.003414808595907869
sensor_43,0.0004154524395840094,0.0029177714311384296,0.0004154524395840094,0.0029177714311384296,0.0029177714311384296
sensor_37,-0.0013566144427901994,-0.002393298194054773,0.0013566144427901994,0.002393298194054773,0.002393298194054773
sensor_41,-6.566864140382518e-05,0.002068889592604782,6.566864140382518e-05,0.002068889592604782,0.002068889592604782
sensor_39,0.000616996185150131,0.001672314874538336,0.000616996185150131,0.001672314874538336,0.001672314874538336
sensor_42,0.000498093569443339,-0.0003847719662199806,0.000498093569443339,0.0003847719662199806,0.000498093569443339
