sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound,missing_pct
sensor_50,normal,128900,199.02182888407407,45.394732286635374,30.96065,1000.0,198.4954,46.5857,41.087963104248,140.625,176.5046,198.4954,223.0903,266.2037,297.1643,1.3696888447417006,36.30062440896011,34.53350630096368,right_skewed,41.087963104248,297.1643,37.3773295244758
sensor_15,normal,0,,,,,,,,,,,,,,,,,no_values,,,100.0
sensor_50,abnormal,6,211.7573176422119,119.27466391739767,32.4074058532715,401.9097,206.16320000000002,58.44909999999999,39.670135560607925,68.72105438995362,181.27890000000002,206.16320000000002,239.728,362.991875,394.12613500000003,0.19463255402416954,1.8604771782005827,43.3277242401779,bounded_normal,39.670135560607925,394.12613500000003,14.285714285714285
sensor_15,abnormal,0,,,,,,,,,,,,,,,,,no_values,,,100.0
sensor_50,recovery,14397,40.03083201405509,34.5832430820995,27.488426208496104,483.5069,32.98611,6.944444656372003,27.7777786254883,28.067129135131804,30.381944656372102,32.98611,37.326389312744105,67.12963,195.13884399999725,7.7198382933029075,71.77811949914572,5.147846298274279,right_skewed,27.7777786254883,195.13884399999725,0.5526006769358293
sensor_15,recovery,0,,,,,,,,,,,,,,,,,no_values,,,100.0
