sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound,missing_pct
sensor_50,recovery,14397,40.03083201405509,34.5832430820995,27.488426208496104,483.5069,32.98611,6.944444656372003,27.7777786254883,28.067129135131804,30.381944656372102,32.98611,37.326389312744105,67.12963,195.13884399999725,7.7198382933029075,71.77811949914572,5.147846298274279,right_skewed,27.7777786254883,195.13884399999725,0.5526006769358293
sensor_15,recovery,0,,,,,,,,,,,,,,,,,no_values,,,100.0
