pca_1,pca_2,anomaly_flag
32.98904322426702,1.6556503122694286,0
34.82731944644286,5.396068868739418,0
33.42720339750591,11.766319861020072,0
36.92538092037568,5.444662608662661,0
33.81895340855952,14.219278814354197,0
32.756454813223066,4.071594215527431,0
33.77003980023695,6.542808996465715,0
32.469667512611494,21.09362181233081,0
32.83621592482638,11.180451010980473,0
25.055916900968192,1.2887681236913942,0
33.202375863706116,8.031726496657319,0
-89.01415868989386,3.8613307685893004,0
33.77415485069181,5.386577875328566,0
-272.26939381790754,-2.3937976568487693,0
33.146241435035115,2.1745613573239075,0
33.425576933554964,-38.0519951058076,0
33.048421004743155,6.011261025489845,0
33.31433963266521,6.59318386233333,0
34.47797101555915,6.088016449505251,0
32.7277966553435,5.288968573618318,0
33.59976976317789,4.613308385839218,0
33.49409595439384,6.315166328150774,0
13.447876813107193,5.009291888528144,0
33.12709091080746,2.368540151735172,0
33.63772956500041,5.440847024951784,0
33.778444126617664,5.75392895435848,0
32.763774590731735,6.332412024709987,0
33.695040461748846,6.096690679947335,0
33.86691611536755,4.823198769448306,0
-265.4930183566825,1.435857013047884,0
34.78771425356905,1.4233110559996103,0
-15.347736444625006,4.441075420865281,0
25.68647679709375,5.51953464335725,0
34.06865639521262,5.909295005673078,0
33.120409763409235,5.038243241877873,0
33.77140009812746,6.403172092394774,0
33.54024977742931,5.2211687646348,0
33.974608194104995,5.815068065545842,0
33.45556833547008,5.474531173076435,0
33.452024992372905,6.166545514993867,0
37.54565196704827,5.633800784758204,0
-255.35706456232336,0.5798624447244745,0
33.46608967329872,5.535789256973431,0
35.327255686979086,-46.088220298650405,1
34.29874519511006,-2.3589726661884063,0
32.82097372297973,5.847127657149698,0
32.96983320848331,1.8422366587095378,0
32.31783781983031,5.99266722280008,0
33.80488731216494,13.398356381810311,0
34.56784073703636,7.1407849546822515,0
37.0985584144449,2.324331426944195,0
25.379693617021193,5.703866802056534,0
14.288737113579657,5.9970815985235175,0
33.24906035437746,6.608899588398224,0
33.315794635850935,6.172608418664744,0
33.99907737018112,6.190964442981933,0
33.48184246264173,43.554471410541446,0
34.1305907008577,7.223669055781633,0
35.222625918096256,6.488523764121848,0
27.046608611672777,6.177905413937201,0
-269.0888392447719,-1.3428011953141858,0
33.08595209493889,6.280203458015448,0
36.31938138909957,5.977425599660405,0
35.29927661494297,-58.743242850048986,1
-50.756444752651284,5.641137498346397,0
34.22808027893085,5.123683104432859,0
34.99247673467147,6.045298336144118,0
33.97332349580431,5.362973649719712,0
