sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound,missing_pct
sensor_50,normal,128900,199.02182888407407,45.394732286635374,30.96065,1000.0,198.4954,46.5857,41.087963104248,140.625,176.5046,198.4954,223.0903,266.2037,297.1643,1.3696888447417006,36.30062440896011,34.53350630096368,right_skewed,41.087963104248,297.1643,37.3773295244758
sensor_15,normal,0,,,,,,,,,,,,,,,,,no_values,,,100.0
