sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound,missing_pct
sensor_50,abnormal,6,211.7573176422119,119.27466391739767,32.4074058532715,401.9097,206.16320000000002,58.44909999999999,39.670135560607925,68.72105438995362,181.27890000000002,206.16320000000002,239.728,362.991875,394.12613500000003,0.19463255402416954,1.8604771782005827,43.3277242401779,bounded_normal,39.670135560607925,394.12613500000003,14.285714285714285
sensor_15,abnormal,0,,,,,,,,,,,,,,,,,no_values,,,100.0
