sensor,state_scope,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_00,normal_clean,2.4561791019178134,0.09981318308154706,0.4043403,2.549016,2.4614580000000004,0.05509299999999984,2.061053,2.392593,2.448669,2.4614580000000004,2.503762,2.512616,2.523438,-10.393784139029167,165.59153725118483,0.04083988139362479,left_skewed,2.061053,2.549016
sensor_01,normal_clean,48.24683559957691,2.2916605844423965,0.0,56.727430000000005,48.3941,2.9079848107909925,43.27257,44.314240000000005,46.74479,48.3941,49.652774810790994,51.8663177490234,54.34027,-0.14648229624361656,5.230189314561635,2.155659607702737,robust_empirical,39.77146156918906,56.727430000000005
sensor_02,normal_clean,51.71991738939627,1.6883657323782102,39.45313,56.032990000000005,51.73611,2.256945687255893,47.17881932470702,49.1319427490234,50.65104,51.73611,52.907985687255895,54.25346999999999,54.94791,-1.0039693028514813,4.581224054933137,1.6730509171652284,left_skewed,45.04390633133908,56.032990000000005
sensor_03,normal_clean,44.21921502875688,1.5494826616225024,33.89757,48.220490000000005,44.357635498046896,2.170139312744098,40.451385498046896,41.4930534362793,43.185760498046896,44.357635498046896,45.355899810790994,46.61458,47.265625,-0.3561344188347274,-0.1360436647865324,1.6087022333166034,bounded_normal,37.92282656478048,48.220490000000005
sensor_04,normal_clean,632.5104992799476,18.528854999080938,3.3362269401550297,800.0,634.375,9.143500000000017,578.9352,619.907409667969,629.6296,634.375,638.7731,645.3704,650.3472,-14.409596857145779,308.56619866969163,6.7779836916234375,left_skewed,578.9352,661.4869347664937
sensor_05,normal_clean,75.37455450649169,7.699118566797947,30.33716,99.99988,75.19627,10.067559999999986,58.940386000000004,63.4912,70.08384000000001,75.19627,80.1514,88.37429499999999,96.84433099999991,0.2488787117587218,0.6414703203368681,7.462979985174193,bounded_normal,45.344350059303224,99.99988
sensor_06,normal_clean,14.033907516610837,0.6722986912189736,8.029513,15.96499,14.03356,1.0778299999999987,12.67361,13.12211,13.5272,14.03356,14.60503,15.11863,15.19821,-0.4712726799567871,3.381926845090435,0.7989844329132681,bounded_normal,10.837622268346927,15.96499
sensor_07,normal_clean,16.219860446050042,0.41713108417631517,10.08391,18.7717,16.16753,0.60764,15.54543,15.625,15.95775,16.16753,16.56539,16.75347,17.62153,0.3013584102222734,3.5368753494083194,0.4504373610081542,bounded_normal,14.365780555967383,17.969279444032615
sensor_08,normal_clean,15.535025026267235,0.45225063222443584,0.02893518,19.16956,15.56713,0.5063700000000004,14.77141,14.96672,15.22714,15.56713,15.73351,16.2037,17.15856,-1.8621703454467171,103.1939780139281,0.3753669384729432,left_skewed,14.065662246108229,17.15856
sensor_09,normal_clean,15.140971478964415,0.4409871152842392,0.007233796,18.75,15.08247,0.06509999999999927,14.56887,14.82205,15.05353,15.08247,15.11863,15.632229999999998,16.61603,-12.851666344058785,487.96372128118537,0.048257968865826,left_skewed,14.56887,16.61603
