machine_status__profiled,row_count,outlier_count,mean_iforest_score,median_iforest_score,outlier_rate
abnormal,7,5,-0.08576406001891528,-0.07727478153762701,0.7142857142857143
normal_clean,153885,7827,0.05640695530804441,0.062125061262022,0.050862657179062284
normal_contaminated,18682,18682,-0.17243500634082326,-0.1691992220231524,1.0
normal_suspect,33269,28659,-0.0766906867099629,-0.07162669896010632,0.8614325648501608
recovery,14477,14466,-0.12512486478888876,-0.12319272165607031,0.9992401740692133
