feature,original_missing_pct,original_mean,median_imputed_mean,ffill_imputed_mean,original_std,median_imputed_std,ffill_imputed_std,median_mean_shift,ffill_mean_shift,median_std_shift,ffill_std_shift
sensor_51,0.0714,201.16092250568406,200.84664665877818,258.1980326387782,103.30585384371147,99.55561267386437,228.52681962647404,-0.31427584690587196,57.03711013309416,-3.7502411698471008,125.22096578276256
sensor_00,0.0443,2.3712088642318196,2.3749889892463503,2.305874469459777,0.411620986404079,0.40278226810660267,0.5604138641842435,0.003780125014530622,-0.06533439477204261,-0.008838718297476345,0.14879287778016453
sensor_07,0.0246,15.869633385702558,15.876961642414276,15.851472006293752,2.0804357535733646,2.0552026203766163,2.124065737715967,0.007328256711717884,-0.0181613794088058,-0.02523313319674836,0.04362998414260222
sensor_08,0.0213,15.199089594806674,15.205388013437291,14.89848845407711,2.015490176719061,1.9943645811036455,2.8744999019702564,0.0062984186306174195,-0.30060114072956345,-0.021125595615415493,0.8590097252511955
sensor_06,0.0206,13.509426032681628,13.512176420408386,13.232315305424725,2.1252164932692295,2.103296150049227,2.8419289982123215,0.0027503877267580634,-0.2771107272569022,-0.02192034322000236,0.716712504943092
sensor_09,0.0195,14.807217289888904,14.812584717736073,14.54570094492838,2.030308444439902,2.0107737574909974,2.8019387998830454,0.005367427847168926,-0.26151634496052445,-0.01953468694890459,0.7716303554431434
sensor_01,0.0011,47.6269627450348,47.627520134015256,47.63221197001526,3.2820603721778583,3.2802975696455516,3.2852107415005585,0.0005573889804537657,0.005249224980460099,-0.001762802532306651,0.003150369322700186
sensor_30,0.0008,614.493775170394,614.5373652702576,614.0799579262577,195.4633385385764,195.39120343749786,195.93176097258888,0.04359009986364981,-0.4138172441362258,-0.07213510107854404,0.4684224340124672
sensor_32,0.0003,805.9492314670554,805.9712439876153,806.1954456151934,261.5878418380191,261.5516838635536,261.98143583311486,0.022012520559883342,0.24621414813805131,-0.03615797446548186,0.3935939950957845
sensor_22,0.0002,460.2124414844745,460.2267726761776,460.12989951817764,154.01108963066224,153.99902007551424,154.10624207252047,0.014331191703092827,-0.0825419662968443,-0.012069555148002564,0.09515244185823235
sensor_25,0.0002,650.3892066935852,650.4071879522464,650.2704750702463,219.77431517520608,219.75601234399318,219.91263593784564,0.017981258661279753,-0.11873162333881737,-0.018302831212906767,0.13832076263955173
sensor_29,0.0002,578.6647819567994,578.662384730408,578.549558259775,224.4799507842053,224.45756342144253,224.60530917446812,-0.0023972263913947245,-0.11522369702436208,-0.02238736276277109,0.12535839026281792
sensor_18,0.0001,2.3048414226487703,2.304864403806506,2.3046147664465058,0.7637296658198691,0.7636949323229655,0.7640277473102149,2.2981157735468827e-05,-0.00022665620226458572,-3.473349690363836e-05,0.0002980814903458251
sensor_16,0.0001,416.9007897565737,416.9053841875981,416.865146977598,125.45173611568822,125.44630409541001,125.49608838591259,0.004594431024372625,-0.03564277897572765,-0.005432020278206551,0.0443522702243655
sensor_17,0.0001,421.4218302355658,421.42589938254224,421.3853455525422,128.59457333987208,128.58878664262866,128.63989191384454,0.004069146976462434,-0.03648468302355923,-0.005786697243422623,0.04531857397245176
sensor_03,0.0,43.741409005132574,43.741409005132574,43.741409005132574,2.4123075201268005,2.4123075201268005,2.4123075201268005,0.0,0.0,0.0,0.0
sensor_02,0.0,50.867641687174746,50.867641687174746,50.86764168717476,3.643753193618394,3.643753193618394,3.6437531936183936,0.0,1.4210854715202004e-14,0.0,-4.440892098500626e-16
sensor_05,0.0,73.57533818236047,73.57533818236047,73.57533818236047,16.93888615741167,16.93888615741167,16.93888615741167,0.0,0.0,0.0,0.0
sensor_14,0.0,377.25435005796254,377.25435005796254,377.25435005796254,112.78543572920964,112.78543572920964,112.78543572920964,0.0,0.0,0.0,0.0
sensor_11,0.0,41.925383110408895,41.925383110408895,41.9253831104089,12.952430057642944,12.952430057642944,12.952430057642943,0.0,7.105427357601002e-15,0.0,-1.7763568394002505e-15
sensor_12,0.0,29.16466794474229,29.16466794474229,29.16466794474229,10.055565924374458,10.055565924374458,10.055565924374458,0.0,0.0,0.0,0.0
sensor_13,0.0,7.053220236900107,7.053220236900107,7.053220236900107,6.89188628925424,6.89188628925424,6.8918862892542405,0.0,0.0,0.0,8.881784197001252e-16
sensor_10,0.0,41.55489069261057,41.55489069261057,41.55489069261056,11.98120498301062,11.98120498301062,11.98120498301062,0.0,-7.105427357601002e-15,0.0,0.0
sensor_04,0.0,591.554874814684,591.554874814684,591.5548748146839,142.05931232710844,142.05931232710844,142.05931232710844,0.0,-1.1368683772161603e-13,0.0,0.0
sensor_20,0.0,361.0131864990989,361.0131864990989,361.01318649909894,101.67911323620214,101.67911323620214,101.67911323620216,0.0,5.684341886080802e-14,0.0,1.4210854715202004e-14
sensor_21,0.0,796.5524475165971,796.5524475165971,796.5524475165969,226.3708959330793,226.3708959330793,226.3708959330793,0.0,-2.2737367544323206e-13,0.0,0.0
sensor_26,0.0,787.3361387973357,787.3361387973357,787.3361387973356,245.88665077318797,245.88665077318797,245.88665077318797,0.0,-1.1368683772161603e-13,0.0,0.0
sensor_24,0.0,556.7886083413182,556.7886083413182,556.7886083413181,182.12105353462564,182.12105353462564,182.12105353462564,0.0,-1.1368683772161603e-13,0.0,0.0
sensor_23,0.0,923.0577863525532,923.0577863525532,923.0577863525531,290.55912245369893,290.55912245369893,290.55912245369893,0.0,-1.1368683772161603e-13,0.0,0.0
sensor_28,0.0,850.3815455925904,850.3815455925904,850.3815455925904,314.4514145705075,314.4514145705075,314.4514145705075,0.0,0.0,0.0,0.0
sensor_27,0.0,500.3464829948838,500.3464829948838,500.3464829948838,166.9883248600788,166.9883248600788,166.9883248600788,0.0,0.0,0.0,0.0
sensor_31,0.0,862.1722374559213,862.1722374559213,862.1722374559213,284.0823745308356,284.0823745308356,284.0823745308356,0.0,0.0,0.0,0.0
sensor_33,0.0,486.7320052685635,486.7320052685635,486.7320052685635,150.13759020310212,150.13759020310212,150.13759020310212,0.0,0.0,0.0,0.0
sensor_19,0.0,591.2414567833945,591.2414567833945,591.2414567833945,198.89363015416666,198.89363015416666,198.89363015416666,0.0,0.0,0.0,0.0
sensor_34,0.0,234.5697773210756,234.5697773210756,234.56977732107566,88.4126482353457,88.4126482353457,88.41264823534571,0.0,5.684341886080802e-14,0.0,1.4210854715202004e-14
sensor_35,0.0,427.0252530289771,427.0252530289771,427.0252530289771,141.47714139456676,141.47714139456676,141.47714139456676,0.0,0.0,0.0,0.0
sensor_37,0.0,60.72845209184098,60.72845209184098,60.72845209184099,37.51934863641201,37.51934863641201,37.51934863641201,0.0,1.4210854715202004e-14,0.0,0.0
sensor_36,0.0,591.7609675651642,591.7609675651642,591.7609675651642,289.8533184527761,289.8533184527761,289.8533184527761,0.0,0.0,0.0,0.0
sensor_39,0.0,36.575834401596076,36.575834401596076,36.57583440159608,15.895650182580034,15.895650182580034,15.895650182580034,0.0,7.105427357601002e-15,0.0,0.0
sensor_40,0.0,68.76187697686196,68.76187697686196,68.76187697686194,21.80686142485,21.80686142485,21.806861424850002,0.0,-1.4210854715202004e-14,0.0,3.552713678800501e-15
sensor_41,0.0,35.39338200244816,35.39338200244816,35.39338200244816,7.530853650510774,7.530853650510774,7.530853650510774,0.0,0.0,0.0,0.0
sensor_38,0.0,49.71397632247204,49.71397632247204,49.71397632247205,10.665666096152641,10.665666096152641,10.665666096152641,0.0,7.105427357601002e-15,0.0,0.0
sensor_42,0.0,35.421000356210605,35.421000356210605,35.42100035621062,10.041260881351112,10.041260881351112,10.041260881351112,0.0,1.4210854715202004e-14,0.0,0.0
sensor_43,0.0,43.780515270731385,43.780515270731385,43.78051527073139,10.341244624417776,10.341244624417776,10.341244624417776,0.0,7.105427357601002e-15,0.0,0.0
sensor_45,0.0,43.195660381316706,43.195660381316706,43.195660381316706,13.209480955445603,13.209480955445603,13.209480955445603,0.0,0.0,0.0,0.0
sensor_44,0.0,42.67266063502501,42.67266063502501,42.67266063502501,10.874227680467218,10.874227680467218,10.874227680467218,0.0,0.0,0.0,0.0
sensor_46,0.0,47.82479283618616,47.82479283618616,47.824792836186155,14.472045834349899,14.472045834349899,14.472045834349899,0.0,-7.105427357601002e-15,0.0,0.0
sensor_47,0.0,44.46404062337736,44.46404062337736,44.46404062337735,10.723230855655489,10.723230855655489,10.723230855655489,0.0,-7.105427357601002e-15,0.0,0.0
sensor_48,0.0,151.05263728296904,151.05263728296904,151.05263728296904,82.64561100001288,82.64561100001288,82.64561100001288,0.0,0.0,0.0,0.0
sensor_49,0.0,57.14806380832647,57.14806380832647,57.14806380832647,19.351697869831938,19.351697869831938,19.351697869831938,0.0,0.0,0.0,0.0
