feature_name,median_value,mean_value,standard_deviation,lower_bound,upper_bound
sensor_00,2.455556,2.405197029514385,0.26734389508197237,2.188947,2.510648
sensor_01,48.0034713745117,47.933344783218956,2.1067457886094236,44.2708320617676,51.43229
sensor_02,51.82291,51.61836822008594,2.087896733039076,48.65451,54.34027
sensor_03,43.8802070617676,43.81064732025083,1.7724057948191452,40.972221374511705,46.527774810790994
sensor_04,632.2916,622.9448080750301,55.88342656008657,594.3287,644.2130000000001
sensor_05,78.004465,77.67382374455049,9.67736691708868,66.03216499999999,91.43374250000001
sensor_06,13.53443,13.48551241531512,0.7417324747784888,13.02807,14.24334
sensor_07,16.13136,16.002253791062476,0.5924300544525363,15.588829999999998,16.6522
sensor_08,15.29224,15.328690938864199,0.5480451044315304,14.879920000000002,15.85648
sensor_09,15.08247,15.011682354022096,0.5513272385891637,14.74971,15.364579999999998
sensor_10,44.178895,43.72337395026537,6.50663000794621,36.4042975,51.86567
sensor_11,43.13788,42.410897927567056,7.4611083903986115,33.5493175,52.238465
sensor_12,31.926885000000002,29.997441188438973,7.042385149565719,13.4227,37.02438
sensor_13,2.082353,4.299190320539831,5.288452545627405,0.46371402500000003,17.983545000000003
sensor_14,419.8041,353.6856810849315,135.60047383427383,37.0851075,425.24035
sensor_16,462.5283,391.3229536658313,151.45025635367077,31.88537,465.879125
sensor_17,460.93325,398.4607759862692,156.96343420807557,0.0,488.830725
sensor_18,2.521097,2.1779284562919203,0.9266311598902531,0.0,2.83680975
sensor_19,665.1652,550.3668029048466,238.5452377157729,0.0,669.010625
sensor_20,399.1071,340.24028814012627,121.89205771020315,63.01777499999999,401.08054999999996
sensor_21,879.0316,751.1571953078503,271.40940672299934,132.523075,885.59145
sensor_22,501.4768,421.46277446162713,180.90056697003465,0.0,535.4387
sensor_23,976.8151499999999,835.283659514282,330.86852142933463,90.6371625,1092.099
sensor_24,614.4197999999999,518.9017237846715,217.42841814582317,0.0,631.592
sensor_25,742.4066,606.9036491042469,264.4840781152321,0.0,768.6234499999999
sensor_26,850.84015,732.2728132983125,285.787887713831,97.63996,950.898775
sensor_27,463.85220000000004,467.26769559014434,160.68628214470533,183.6589,589.6521
sensor_28,997.32725,847.9396367884128,360.29452165971213,71.6566375,1159.0875
sensor_29,712.52765,588.7580829175901,276.30998383685034,36.770422499999995,834.96015
sensor_30,641.6666,560.2252423257935,224.31831489623366,101.3889,706.0185
sensor_31,906.2499,826.3744370418678,335.76379363568225,125.5208,1136.458
sensor_32,843.48735,748.2950737127887,287.680774028157,123.5256,972.75475
sensor_33,511.5065,466.5825216006534,182.49899118503845,61.330065000000005,612.14715
sensor_34,182.62735,215.00436579113835,93.48496762384002,64.0550125,356.432875
sensor_35,378.14355,371.1018390050646,145.6876134674864,74.025215,564.0775
sensor_36,475.03615,502.59834856699774,310.77962558945376,81.31248500000001,886.28125
sensor_37,79.77357,78.74843775765673,29.090488982462155,26.150837499999998,123.9094
sensor_38,50.0,50.962794860176885,8.321446733086006,40.88541,62.76041
sensor_39,36.97916,37.64109387367634,10.749130605266354,29.6875,45.3125
sensor_40,63.80208,66.84638022504063,16.75220365545702,49.73958,92.96875
sensor_41,35.6770820617676,36.20925449313074,5.77565852932905,29.94792,42.70833
sensor_42,35.67708,35.95733178584231,7.169391287082464,30.208332061767603,40.885414123535206
sensor_43,42.70833,43.503979304678374,7.953947434173742,36.197914123535206,52.60416
sensor_44,39.6412,40.772435940749254,6.807575655813254,33.5648155212402,51.79398
sensor_45,39.6412,41.862716434888064,9.564441540562505,33.8541679382324,56.13426
sensor_46,43.40278,45.664752237639306,11.745539494136604,36.4583320617676,60.76389
sensor_47,42.24537,43.753881018979406,8.007641410654404,36.16898,55.2662
sensor_48,111.4005,124.40488799450706,56.525642650595465,56.13426,232.0602
sensor_49,51.21528,54.089162459139104,11.602203053226138,43.4027786254883,75.23148
sensor_51,199.3634,270.83061504315043,237.10463507843323,155.9606,1000.0
