model,alert_count_all_rows,alert_count_test_rows,precision,recall,f1,stage_truth_hash,parent_gold_truth_hash,meta__truth_hash,meta__parent_truth_hash,meta__pipeline_mode
Baseline IsolationForest,19493,1522,0.04664914586070959,0.6016949152542372,0.08658536585365853,7cba150e44500159c11cf82a26f73769b09137200b299a02a82e02767d4b89de,52040214a1b81f683312ca3f97704c6d08e7bbcfe03b984952cffa6954826a1f,3b9dfd95185f4b136e4fef1c8a6a8f22e4496e50b16045ed514e7285245850c8,52040214a1b81f683312ca3f97704c6d08e7bbcfe03b984952cffa6954826a1f,batch
Cascade Final,16501,1166,0.05574614065180103,0.5508474576271186,0.10124610591900311,492f9c11a23db61aa611865e6625971618d39b70a194f76fc3caaadf3e9e5c34,52040214a1b81f683312ca3f97704c6d08e7bbcfe03b984952cffa6954826a1f,3b9dfd95185f4b136e4fef1c8a6a8f22e4496e50b16045ed514e7285245850c8,52040214a1b81f683312ca3f97704c6d08e7bbcfe03b984952cffa6954826a1f,batch
