feature_name,median_value,mean_value,standard_deviation,lower_bound,upper_bound
sensor_00,0.0,-0.22556361311584214,1.9835309351511814,-2.5400394397121437,1.100022362723379
sensor_01,0.0,0.021708045713762752,0.8415431033617112,-1.3478244016371153,1.456523068527974
sensor_02,0.0,-0.011922064531803968,0.6724307068887592,-1.0892884326592707,1.0178601551089266
sensor_03,0.0,0.06060211214488377,0.6915849119151058,-0.9807682892495209,1.24999725727781
sensor_04,0.0,-0.23238657954525344,1.9513111065082396,-1.9276851331376221,1.228905127724683
sensor_05,0.0,0.015410557461537367,0.8688192082803405,-1.3610516855070454,1.5366006304036868
sensor_06,0.0,-0.038233754455813625,1.1604008220174364,-1.4348009015777732,1.8043876784372805
sensor_07,0.0,-0.16447548349381697,0.6922693440263801,-1.0468939001209658,1.1562554000345617
sensor_08,0.0,0.1475605279120264,0.7632753154665302,-0.9298134988965098,1.3333252491936016
sensor_09,0.0,-0.5565665996022475,3.1362356494789383,-2.6669124423962876,0.7333640552995183
sensor_10,0.0,-0.030525522499048493,0.7455410923020606,-1.225752885195615,1.1383276865634115
sensor_11,0.0,0.09884818592806947,0.7180928833569092,-0.8142592017082616,1.3313657575651252
sensor_12,0.0,-0.25407664473861075,1.1149374302796973,-2.954723580520381,1.0214959390367921
sensor_13,0.0,0.8470278244781949,2.5163839491883335,-0.7989606230258581,8.230056935944543
sensor_14,0.0,-0.14350798916456928,5.001888904174374,-4.222114836432775,4.98424324691191
sensor_16,0.0,-0.5156023303040849,4.968985914083051,-4.166350385038508,1.2051292629262853
sensor_17,0.0,0.010502749111103885,1.6437947949089413,-1.9179657625611406,2.665396843041362
sensor_18,0.0,0.037411906986504526,1.5647551661774386,-1.86049048217987,2.705891652456625
sensor_19,0.0,-0.1777313458341107,2.0976137716432754,-2.042099401938455,1.3561724066817749
sensor_20,0.0,-0.17691223420012062,2.206331648255383,-1.9465556396668957,1.3936889915932957
sensor_21,0.0,-0.12717884151991207,1.6664179971968796,-1.816989758595459,1.4313564635803384
sensor_22,0.0,0.044883264362609754,0.7400550136492383,-1.32356854829844,0.8988269300394155
sensor_23,0.0,-0.2741327208096238,0.9075184234620207,-1.623686327907407,0.5347863376333963
sensor_24,0.0,-0.29853863491151555,0.821979006926559,-0.9984413116138844,0.24746845121498254
sensor_25,0.0,-0.5724983619091052,1.4358355216283527,-3.0145636881435074,1.0553800842197474
sensor_26,0.0,-0.37506250829510335,0.5333178497203471,-1.4855613193010808,0.09078146563585855
sensor_27,0.0,0.23013320612059265,0.8736584042502035,-0.8048316825860451,2.0881369180932037
sensor_28,0.0,-0.1591392215035458,1.0976693685896353,-1.7997642438051458,1.2589638991266836
sensor_29,0.0,-0.5749419672773207,2.3417404960688106,-9.180618751186186,1.1568611374707418
sensor_30,0.0,-0.4584609211923528,2.797090518469937,-4.122618536394697,1.3571430408162717
sensor_31,0.0,0.09165204546542666,1.1389204743390513,-1.3756092489706926,1.5463413217846078
sensor_32,0.0,-0.20442392592493588,0.9008478045197801,-1.764034297886502,0.7693852691168845
sensor_33,0.0,0.2058997431489113,0.5699658864786471,-0.56434306991426,1.0753683248560624
sensor_34,0.0,0.35056858465397,0.5204766269763222,-0.22458071525596424,1.1089508420388203
sensor_35,0.0,0.14549710170083185,0.5679185053560071,-0.6571995173994296,0.987401621935937
sensor_36,0.0,-0.21257286939656445,0.4831895647412199,-0.8697945562852962,0.30292804279582763
sensor_37,0.0,0.015023593445555214,0.714602017825554,-1.128536240102857,1.1927919317763043
sensor_38,0.0,0.07436720377238985,0.7708320761252895,-1.0000012000004803,1.4062505625002255
sensor_39,0.0,0.056802799558899844,0.7725076205502471,-1.1304348551985275,1.2608713799632019
sensor_40,0.0,0.18951859964609502,0.9646094737774784,-0.942307663905312,1.9038470911247223
sensor_41,0.0,0.03688901801106023,0.759779563402912,-1.157893442807323,1.3157884275543654
sensor_42,0.0,-0.02988953742694099,0.7057966101186142,-1.1764675979554058,1.1764703224917497
sensor_43,0.0,0.07924995200744225,0.8708357062736883,-1.0434788415882243,1.5652182623823363
sensor_44,0.0,0.1831210911421494,0.8290465505487123,-0.8636357946020439,1.7272720210506058
sensor_45,0.0,0.26085892977004993,1.3150403471800582,-0.8636365690825423,2.363636301000121
sensor_46,0.0,0.2764393762110943,1.2341674903645132,-0.8461535394083588,2.307691591952839
sensor_47,0.0,0.20357303676996052,0.9666457114484082,-0.8695640217637894,1.8695631921383586
sensor_48,0.0,0.20831414384402602,0.7507582823661356,-0.6498047965505629,1.704279683672514
sensor_49,0.0,0.3031450353533174,1.2247288733527508,-0.8620690759471861,2.5862076373513636
sensor_51,0.0,2.280448167320648,6.365927077563077,-0.9929590147975078,19.359136487538944
